id,¸g«×,½n«×
D2041,121.726115,25.103848
D2042,121.7669177,25.15123153
D2044,121.7660749,25.14378448
D2045,121.6357883,25.22249107
D2046,121.687046,25.184311
D2047,121.7043743,25.0837668
D2048,121.7940777,25.11074408
D2049,121.737316,25.12729432
D2050,121.7326911,25.13628022
D2052,121.4948211,25.25976555
D2053,121.7189095,25.12630241
D2054,121.9296556,25.06333637
D2055,121.828867,25.121539
D2056,121.748728,25.098398
D2057,121.7742745,25.15112726
D2058,121.7002994,25.14848305
D2059,121.7230964,25.10364132
D2060,121.6742022,25.07456263
D2061,121.7587217,25.12802319
D2090,121.737316,25.12729432
D2140,121.539586,25.046395
D2141,121.472273,25.046759
D2142,121.502159,25.119321
D2144,121.555867,25.027629
D2146,121.640027,25.060053
D2147,121.511817,25.084904
D2149,121.514467,25.062896
D214F,121.489617,25.05887
D214G,121.527661,25.092425
D214H,121.466298,25.127102
D214J,121.548888,24.97733
D214K,121.535284,25.025767
D214L,121.511321,25.108077
D214M,121.567186,25.041486
D214N,121.70496,24.935678
D214R,121.584105,25.068515
D214T,121.423044,25.158784
D214X,121.560009,25.085069
D214Z,121.44529,25.03476
D2150,121.564139,24.988543
D2151,121.539447,25.004461
D2152,121.507848,24.999509
D2153,121.445398,25.168691
D2154,121.527114,25.031435
D2156,121.545932,25.135436
D2157,121.54435,25.04952
D2158,121.42666,25.064094
D2159,121.533138,25.038461
D215A,121.547509,24.916361
D215E,121.396941,25.077932
D215H,121.4635263,25.0092684
D215J,121.604512,25.054073
D215K,121.473083,25.085511
D215L,121.491902,25.032864
D215M,121.377881,24.930838
D215N,121.352078,24.950402
D215R,121.541866,24.96845
D215T,121.507282,25.031386
D215V,121.438628,25.051765
D215W,121.611912,25.067566
D215X,121.459994,25.03995
D215Y,121.340808,24.95297
D215Z,121.415553,25.008812
D2160,121.430469,24.999458
D2161,121.467907,25.043911
D2162,121.503339,25.038303
D2163,121.555454,25.032927
D2164,121.525805,25.020763
D2165,121.5636,25.059514
D2167,121.577674,25.039659
D2168,121.526202,25.087508
D2169,121.556908,25.019113
D216A,121.53015,25.050881
D216F,121.519641,25.004903
D216H,121.468878,25.077184
D216J,121.366117,24.914911
D216K,121.456132,25.06455
D216L,121.550696,25.084277
D216R,121.480653,25.01939
D216U,121.57107,25.081338
D216V,121.446519,25.192243
D216Y,121.606443,25.064239
D2170,121.438794,25.082591
D2171,121.492782,25.071897
D2172,121.528026,25.056557
D2173,121.456038,24.996152
D2174,121.440699,24.974145
D2176,121.558163,25.049447
D2177,121.542274,24.97855
D2178,121.523868,25.046176
D2179,121.483598,25.005234
D217F,121.534018,24.980617
D217J,121.461518,25.093421
D217K,121.553378,25.072617
D234C,121.2846443,24.98818646
D234D,121.2999994,24.99197628
D234F,121.3990998,25.01608211
D234G,121.3703158,25.06146585
D234H,121.3465733,24.99989412
D234M,121.2912812,25.04925427
D234N,121.3204947,24.9995372
D234T,121.2502752,25.0898115
D234U,121.2276842,25.07187589
D234V,121.1992956,25.06337614
D234W,121.2635431,25.02114892
D234X,121.3104362,25.01032013
D234Y,121.2109461,24.9481769
D234Z,121.1746299,24.91183012
D235C,121.1598176,24.90873472
D235D,121.2128887,24.92703993
D235E,121.2127845,24.88945233
D235F,121.1411083,25.00958578
D235G,121.1093116,24.97165419
D235H,121.0851852,25.03489185
D235J,121.2171955,24.86759744
D235K,121.0928517,24.93387204
D235L,121.3051554,24.98017609
D235M,121.2709256,24.93283187
D235N,121.2698461,24.97722599
D235P,121.1720905,24.9237666
D235Q,121.2382133,24.96518756
D235R,121.2470161,24.97997825
D235T,121.2322341,24.96328915
D235U,121.2297936,24.94456322
D235V,121.2796532,24.8857712
D235X,121.2850286,24.84661588
D235Y,121.3406492,24.82543062
D235Z,121.086473,25.025339
D237P,121.2469917,25.10353258
D237V,121.1929496,24.9583306
D237W,121.2021226,25.06463132
D237X,121.2086507,25.07866814
D237Y,121.1342583,24.90627192
D237Z,121.1977436,25.0714581
D2386,121.2516071,25.00382258
D239A,121.2569681,25.114414
D4140,120.553656,24.08451256
D4141,120.6667566,24.1279499
D4142,120.6856873,24.15429328
D4143,120.6867435,23.98475534
D4144,120.7074263,24.22620664
D4145,120.6317116,24.35485345
D4146,121.24641,24.254661
D4147,120.5713065,23.97170842
D4148,120.3735047,23.90255129
D4149,120.8243167,24.26140643
D414A,120.5454732,24.19061975
D414E,120.9721489,23.9686819
D414F,120.5699222,24.09519744
D414G,120.6898057,23.99954566
D414H,120.795373,23.675735
D414J,120.540193,24.28965441
D414K,120.6276894,24.01825865
D414L,120.5439882,24.15893697
D414M,120.6919634,23.92589368
D414N,120.82747,24.02391721
D414R,121.1322828,24.02235565
D414T,120.5027447,24.10688572
D414U,120.6944333,24.16118438
D414V,120.6595396,24.32611681
D414W,120.7508288,23.74873484
D414X,120.5726069,24.23174497
D414Y,120.6148542,24.18293842
D414Z,120.5837392,23.90462943
D4150,120.9616648,23.96789418
D4151,120.6892981,24.11720174
D4152,120.4798863,23.96780366
D4153,120.6893749,23.76051715
D4154,120.578385,24.27760585
D4155,120.8580298,23.80847458
D4156,120.5439417,24.07460486
D4157,120.4890417,23.85201537
D4159,120.5910004,23.85004475
D415A,120.586023,24.34702863
D415E,120.4652316,23.90422349
D415F,120.8227661,24.31035436
D415G,120.5268601,23.8903059
D415H,120.6420649,24.3659749
D415J,120.7194857,23.89379534
D415K,120.3272931,23.91960659
D415L,120.7112842,24.1264143
D415M,120.6439044,24.171294
D415N,120.9295851,23.90198614
D415R,120.6500604,24.1627629
D415T,120.7755944,23.82600124
D415U,120.6679702,24.1464553
D415V,120.6484843,24.21794278
D415W,120.4864755,24.15978159
D415X,120.5319486,24.26073821
D415Y,120.853502,23.708156
D415Z,120.9896065,24.18647776
D4160,120.5446995,23.91523353
D4161,120.6984164,24.06094255
D4162,120.7239625,24.31555308
D4163,120.5399926,24.02533066
D4164,120.6769984,24.15617783
D4165,120.5199145,23.87684283
D4166,120.5244344,24.06626397
D4167,120.7011122,24.17942333
D4168,120.7020068,23.83707886
D4169,120.683963,23.90981079
D416A,120.3256961,23.85929776
D416E,120.6743839,24.17404632
D416F,120.6906028,24.1709881
D416G,120.6665833,24.11932715
D416H,120.62025,23.80572267
D416J,120.7280897,24.17687026
D416K,120.652779,24.15104329
D416L,120.5827586,24.18782772
D416M,120.6950337,24.06123148
D416N,120.460526,24.00499095
D416R,120.781697,24.274657
D416T,120.5792159,23.95765884
D416U,120.8087334,24.25014047
D416V,120.6413094,24.14136295
D416W,120.688911,24.181824
D416X,120.7210732,24.12010344
D416Y,120.6558577,23.91961952
D416Z,120.7107075,23.77612434
D4170,120.6339486,24.10605362
D4171,120.6691472,24.12887989
D4172,120.6830332,24.14665216
D4173,120.4452752,24.04771027
D4174,120.9170307,23.87201521
D4175,120.7202366,24.2629218
D4176,120.7344676,24.25967949
D4177,120.5016078,24.03626792
D4178,120.6896988,23.90955052
D4179,120.6937247,24.13330887
D417A,120.5568635,23.95463284
D417E,120.5810206,23.92441127
D417J,120.5631816,23.9462084
D417M,120.6083997,24.15534117
D417N,120.593393,23.86254724
D417R,120.5595332,24.27115731
D417T,120.6658199,23.93657061
D417U,120.5945632,24.1122472
D417V,120.5734576,24.11959374
D417W,120.552828,24.084361
D4180,120.6964215,24.24862476
D4184,120.6000754,24.2796158
D4185,120.4970219,23.88368246
D4187,120.7102019,23.89900963
D4240,120.9741088,24.80341071
D4241,121.1305211,24.72611651
D4242,121.0964886,24.72247273
D4243,121.0047409,24.77953408
D4244,120.9786983,24.80664501
D4245,120.9866263,24.76304574
D4246,121.1798886,24.79343146
D4247,121.0148925,24.82363899
D4248,121.005307,24.84126329
D4249,121.0549917,24.87830028
D4250,121.2753424,24.65745311
D4251,120.9898463,24.80036238
D4252,121.0686349,24.8275329
D4253,120.9269785,24.78777163
D4254,121.0479129,24.89654685
D4255,121.0128607,24.78492418
D4256,121.0010526,24.8733693
D4257,121.0042565,24.79093719
D4258,121.092215,24.737217
D4259,121.0258064,24.68746588
D4260,120.9799864,24.91110699
D4261,121.0772869,24.77783109
D4262,120.9609241,24.80532213
D4265,121.0669835,24.70852898
D4266,120.9283414,24.84550202
D426A,120.9199029,24.53996462
D426C,120.6901812,24.49574663
D426E,120.792574,24.61632414
D426F,120.8256512,24.57023351
D426G,120.8217247,24.56002187
D426H,120.8246541,24.57105514
D426J,120.7578566,24.5691882
D426K,120.8250179,24.5115723
D426L,120.7879954,24.49028326
D426M,120.6799709,24.49313146
D426N,120.68155,24.418837
D426P,120.8923276,24.68289278
D426R,120.6496232,24.43911601
D426T,120.7702441,24.41208351
D426U,120.8677404,24.42824003
D426V,120.8848959,24.67895605
D426W,120.9127167,24.69053464
D426X,120.8955683,24.67631837
D426Y,120.8953113,24.67655312
D426Z,120.8723561,24.68366074
D4273,121.0489642,24.87756897
D4275,121.0995167,24.72437143
D4278,120.9582174,24.7604655
D427A,120.8831192,24.68468047
D427E,120.891874,24.614321
D427F,120.954647,24.64808926
D427G,120.998859,24.59994587
D427H,120.856577,24.577835
D4285,120.821011,24.521247
D4290,120.9237884,24.8198989
D4340,120.4526429,23.49028658
D4341,120.3252014,23.31013118
D4342,120.527747,23.700805
D4343,120.429108,23.46923009
D4344,120.466343,23.79863
D4345,120.446618,23.70916
D4346,120.4541854,23.46921035
D4347,120.2662411,23.31475972
D4348,120.4107401,23.34340622
D4349,120.298864,23.574971
D434A,120.5446883,23.58993945
D434E,120.3390293,23.45261422
D434F,120.258062,23.512943
D434G,120.293126,23.49568562
D434H,120.16703,23.37954
D434J,120.374052,23.791333
D434K,120.2551154,23.46585852
D434L,120.4340119,23.46774923
D434M,120.151564,23.657222
D434R,120.318995,23.408392
D434T,120.316563,23.701717
D434U,120.461359,23.61006
D434V,120.55717,23.712665
D434W,120.46322,23.677837
D434X,120.4071143,23.32976087
D434Y,120.269109,23.677616
D434Z,120.433045,23.49208536
D4350,120.4499427,23.59888565
D4351,120.481141,23.679972
D4352,120.2422372,23.4609328
D4353,120.4335679,23.55100401
D4354,120.3127931,23.29208487
D4355,120.497599,23.76018
D4356,120.393203,23.678761
D4357,120.359761,23.761093
D4358,120.3600966,23.3632865
D4359,120.3889139,23.41979729
D435A,120.2496876,23.57208721
D435F,120.4261245,23.5550398
D435G,120.598675,23.301548
D435H,120.537584,23.471132
D435J,120.479179,23.775311
D435K,120.365319,23.704207
D435L,120.301815,23.585503
D435M,120.4155426,23.43462688
D435R,120.689243,23.464477
D435U,120.454922,23.528143
D4360,120.346998,23.550934
D4361,120.249282,23.33911775
D4362,120.610784,23.752305
D4363,120.4500468,23.47464765
D4364,120.436036,23.707215
D4365,120.4153219,23.77092917
D4366,120.4595543,23.48233105
D4367,120.220576,23.637477
D4368,120.4437917,23.48129379
D4369,120.3159043,23.30700935
D436A,119.5662886,23.5652193
D436E,119.562886,23.659534
D436F,119.654973,23.584003
D436H,119.422052,23.194652
D436J,119.511304,23.603625
D436K,119.507498,23.362355
D436L,119.48307,23.563878
D4370,120.2613646,23.75039559
D4371,120.1918861,23.70098002
D4372,120.3132619,23.6469373
D4373,120.560551,23.649232
D4374,120.54805,23.515982
D4375,120.4354153,23.64659212
D4376,120.1849713,23.58226644
D4377,120.153313,23.45909
D4378,120.4005608,23.60230336
D4379,120.520131,23.425017
D4380,120.313325,23.340216
D4382,120.4752364,23.6931979
D4384,120.294059,23.306724
D4387,120.398987,23.284977
D438F,120.4081704,23.55886634
D4390,120.2720815,23.78950852
D4397,120.298691,23.459281
D4398,120.472394,23.458922
D439L,120.428692,23.345241
D43W2,120.5247924,23.72409591
D43W4,120.400393,23.488179
D43W5,120.4019039,23.48707174
D43W7,120.260043,23.465591
D43W8,120.537117,23.590814
D43X5,120.792747,23.504103
D43X6,120.306529,23.318873
D43X7,120.545111,23.61
D43X8,120.40981,23.488624
D504B,120.2168223,22.96428967
D504C,120.1779554,23.16528072
D504D,120.1978045,22.9851226
D504I,120.215279,23.01760047
D504P,120.2567102,22.86621407
D504Q,120.3164196,23.19936335
D504S,120.3009534,23.03594838
D505B,120.2473717,23.18356501
D505C,120.2549201,23.04183662
D505D,120.1826437,23.22953288
D505E,120.2152638,23.00464302
D505I,120.2484394,22.99844777
D505N,120.3275223,23.14442138
D505P,120.1908996,22.99204829
D505Q,120.4175831,23.06129819
D505S,120.2260906,22.98252332
D505V,120.2262466,22.97715971
D505W,120.2262661,22.97778276
D505X,120.3230486,23.2152379
D505Y,120.3637107,22.96468764
D505Z,120.1839045,23.15186239
D506B,120.2517699,22.87874798
D506C,120.1602245,23.05380409
D506G,120.1895461,23.24412111
D506I,120.2298377,22.97299919
D506M,120.1810982,22.99005711
D506N,120.187021,22.987301
D506P,120.2917844,23.13234838
D506Q,120.272199,23.23982232
D506R,120.1935903,23.00430134
D506S,120.2042793,23.11631231
D506T,120.2201384,22.98636092
D506U,120.2282606,22.90718106
D506V,120.3263069,22.87330636
D506W,120.255542,22.97100618
D506X,120.4653252,23.12071722
D506Y,120.3249112,22.96052445
D506Z,120.173293,22.996987
D507A,120.1742582,22.98382145
D507B,120.1857853,22.92912466
D507C,120.2101396,22.96905733
D507D,120.2882072,23.09729412
D507E,120.215169,23.195164
D507F,120.1800628,22.94620004
D507G,120.1912452,22.99681588
D507H,120.2090549,22.99792501
D507I,120.1332733,23.24139841
D507J,120.218508,23.05800266
D507K,120.4787687,23.04375047
D507L,120.3414819,23.23313739
D507M,120.1347082,23.13672821
D507N,120.21405,22.97505301
D507P,120.4881135,23.17033032
D507Q,120.1835475,22.972937
D507R,120.299851,23.07341521
D507S,120.1589712,23.20394067
D507T,120.2828459,22.96787281
D507U,120.3547231,23.12134474
D507V,120.3509145,23.10580931
D507W,120.5816976,23.07604293
D507X,120.196258,23.042791
D507Y,120.2353437,23.11263884
D507Z,120.1840098,22.90688924
D5094,120.3577355,23.21240958
D509B,120.1665839,22.98681455
D509C,120.1601305,22.99181583
D509D,120.265324,22.905737
D509F,120.266891,22.906024
D509G,120.247784,23.042314
D50W1,120.277709,22.928948
D50W6,120.2938501,23.10543039
D50W9,120.1703215,23.00108613
D5140,120.311102,22.637657
D5141,120.29136,22.627646
D5142,120.4785396,22.67141139
D5143,120.5937263,22.37333917
D5144,120.295508,22.635245
D5145,120.2977588,22.78227777
D5146,120.3096538,22.7161679
D5147,120.2863168,22.67098129
D5148,120.3252379,22.72059867
D5149,120.5096531,22.66106669
D514A,120.317079,22.630549
D514E,120.276931,22.64794
D514F,120.305089,22.614494
D514G,120.395029,22.512081
D514H,120.4924654,22.67364186
D514J,120.295639,22.630709
D514K,120.324784,22.650289
D514L,120.3546518,22.61808618
D514M,120.4942916,22.6849567
D514N,120.6014805,22.83061659
D514R,120.311586,22.642602
D514T,120.370953,22.543147
D514U,120.57022,22.75292628
D514V,120.5644742,22.57055158
D514W,120.5445546,22.41720122
D514X,120.5006734,22.48854636
D514Y,120.395458,22.608385
D514Z,120.362864,22.637798
D5150,120.5569878,22.61992575
D5151,120.4824116,22.88483352
D5152,120.5401954,22.55714641
D5153,120.306001,22.59222
D5154,120.294242,22.623994
D5155,120.363397,22.620448
D5156,120.4881798,22.6798233
D5157,120.4551575,22.47171692
D5158,120.290822,22.601152
D5159,120.5468424,22.89408145
D515A,120.305722,22.623142
D515E,120.336707,22.605097
D515F,120.3627119,22.78675791
D515G,120.242753,22.81319502
D515H,120.385995,22.500524
D515J,120.4337228,22.69731457
D515K,120.6369828,22.70355976
D515L,120.2624963,22.7601124
D515M,120.285101,22.591468
D515N,120.5339126,22.96685807
D515R,120.5135224,22.68494553
D515U,120.4598015,22.53737535
D515V,120.555223,22.54555
D515W,120.5199859,22.571881
D515X,120.311408,22.619775
D515Y,120.313699,22.609717
D515Z,120.8108529,22.00504525
D5160,120.4942714,22.77504651
D5161,120.743684,22.00912309
D5162,120.291257,22.606068
D5163,120.4887535,22.59324583
D5164,120.3079581,22.76274081
D5165,120.342758,22.62851
D5166,120.310391,22.630663
D5167,120.326815,22.621696
D5168,120.301198,22.621933
D5169,120.285967,22.620733
D516A,120.318607,22.578689
D516E,120.5282109,22.64884607
D516F,120.334578,22.640599
D516G,120.4349755,22.77366729
D516K,120.3217218,22.65721986
D516L,120.7927515,21.9459957
D516N,120.292798,22.7086986
D516R,120.4611197,22.94031866
D516T,120.4947196,22.65300791
D516U,120.4887766,22.72030693
D516V,120.274896,22.621942
D516W,120.3015455,22.72271831
D516X,120.5204389,22.52086078
D516Y,120.2536749,22.72425067
D5170,120.6892666,22.19929458
D5171,120.3301,22.632662
D5173,120.4879342,22.66201575
D5174,120.311693,22.623026
D5175,120.5482068,22.46989996
D5176,120.3441977,22.70343144
D5177,120.425377,22.648106
D5178,120.343758,22.568113
D5179,120.6356888,22.99225713
D517A,120.3706928,22.33706338
D517E,120.2290036,22.80036993
D517F,120.317797,22.568372
D517K,120.4654819,22.65530432
D517L,120.3027069,22.70477374
D517M,120.538939,22.491695
D517N,120.349594,22.524534
D517R,120.319007,22.578547
D5180,120.328975,22.7221354
D6140,121.6310025,23.99719067
D6141,121.5973833,23.97487997
D6142,121.312511,23.33336157
D6143,121.6226881,24.1541914
D6144,121.4246794,23.66761546
D6145,121.4463,23.74076333
D6146,121.5899921,23.96436929
D6147,121.3760974,23.49100905
D6148,121.5195729,23.602651
D6149,121.5134697,23.87374084
D6150,121.6034785,24.03999701
D6151,121.5947829,23.99590206
D6152,121.34213,24.184976
D6153,121.7410981,24.31939119
D6154,121.3580231,23.38155641
D6155,121.4217266,23.67414318
D615A,121.3088639,23.27057701
D615B,121.591897,23.981427
D615C,121.5129,23.877903
D6160,121.769252,24.697504
D6161,121.756878,24.770433
D6162,121.847034,24.596067
D6163,121.768663,24.668332
D6164,121.777637,24.830188
D6165,121.731029,24.747676
D6166,121.828684,24.864472
D6167,121.657723,24.667351
D6168,121.78273,24.74752
D6169,121.834686,24.625591
D616A,121.927964,24.971912
D616B,121.867812,24.582428
D616C,121.827074,24.68052
D616D,121.787005,24.641579
D616E,121.814977,24.789796
D616F,121.604444,24.671239
D616G,121.87081,24.905805
D616H,121.379105,24.438953
D616I,121.771926,24.666551
D6170,121.137729,22.766455
D6171,121.1480402,22.75288979
D6172,121.3787581,23.10223685
D6173,121.162532,23.043506
D6174,121.2127466,23.1207142
D6175,121.006926,22.612951
D6176,121.4584836,23.32143533
D6177,120.8950079,22.34174531
D6178,121.042114,22.709845
D6179,121.137354,22.915858
D617A,121.127631,22.739375
D617B,121.300107,22.966044
D617C,121.2523061,23.18278678
D617D,121.1268492,22.7771175
D617E,121.4748099,22.66066644
D617F,121.0923025,22.85260603
D617G,121.287039,23.004106
D617H,121.509816,22.055693
D617J,121.085982,22.902537
AA6212A03,121.131802,22.741134
AA6212A06,121.121174,22.768814
AA6212A08,120.886886,22.294666
AA6212A09,121.367785,23.100533
AA6212A10,121.046813,22.691124
AA6212A13,121.076906,22.771687
AA6212A14,121.093729,22.801998
AA6212A15,121.388342,23.114569
AA6212A16,121.225553,22.87074
AA6212A17,121.177029,22.778749
